pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff
11,21,M,danish,right,0.0,54,11_54,5,5,400,405.890052356021,143.356977545793,4,417.015706806283,574.772727272727,157.757020466445
11,21,M,danish,right,0.0,54,11_54,5,5,400,405.890052356021,143.356977545793,1,207.591623036649,591.136363636364,383.544740599714
11,21,M,danish,right,0.0,54,11_54,5,5,400,405.890052356021,143.356977545793,2,547.905759162304,210.681818181818,337.223940980485
11,21,M,danish,right,0.0,54,11_54,5,5,400,405.890052356021,143.356977545793,3,451.047120418848,445.909090909091,5.13802950975742
11,21,M,danish,right,0.0,54,11_54,5,5,400,405.890052356021,143.356977545793,4,417.015706806283,574.772727272727,157.757020466445
11,21,M,danish,right,0.0,56,11_56,5,5,400,288.743455497382,137.743772477577,1,485.078534031414,654.545454545455,169.466920514041
11,21,M,danish,right,0.0,56,11_56,5,5,400,288.743455497382,137.743772477577,2,246.858638743455,255.681818181818,8.82317943836256
11,21,M,danish,right,0.0,56,11_56,5,5,400,288.743455497382,137.743772477577,3,259.947643979058,339.545454545455,79.5978105663971
11,21,M,danish,right,0.0,56,11_56,5,5,400,288.743455497382,137.743772477577,4,163.089005235602,188.181818181818,25.092812946216
11,21,M,danish,right,0.0,56,11_56,5,5,400,288.743455497382,137.743772477577,1,485.078534031414,654.545454545455,169.466920514041
11,21,M,danish,right,0.0,56,11_56,5,5,400,288.743455497382,137.743772477577,2,246.858638743455,255.681818181818,8.82317943836256
11,21,M,danish,right,0.0,56,11_56,5,5,400,288.743455497382,137.743772477577,3,259.947643979058,339.545454545455,79.5978105663971
11,21,M,danish,right,0.0,56,11_56,5,5,400,288.743455497382,137.743772477577,4,163.089005235602,188.181818181818,25.092812946216
11,21,M,danish,right,0.0,57,11_57,4,4,600,686.829836829837,138.380871701121,1,612.237762237762,636.136363636364,23.8986013986013
11,21,M,danish,right,0.0,57,11_57,4,4,600,686.829836829837,138.380871701121,2,846.503496503496,846.818181818182,0.314685314685335
11,21,M,danish,right,0.0,57,11_57,4,4,600,686.829836829837,138.380871701121,3,601.748251748252,750.681818181818,148.933566433567
11,21,M,danish,right,0.0,57,11_57,4,4,600,686.829836829837,138.380871701121,1,612.237762237762,636.136363636364,23.8986013986013
11,21,M,danish,right,0.0,57,11_57,4,4,600,686.829836829837,138.380871701121,2,846.503496503496,846.818181818182,0.314685314685335
11,21,M,danish,right,0.0,57,11_57,4,4,600,686.829836829837,138.380871701121,3,601.748251748252,750.681818181818,148.933566433567
11,21,M,danish,right,0.0,58,11_58,5,5,400,378.403141361257,119.588437288574,1,403.926701570681,630.0,226.073298429319
11,21,M,danish,right,0.0,58,11_58,5,5,400,378.403141361257,119.588437288574,2,262.565445026178,288.409090909091,25.8436458829129
11,21,M,danish,right,0.0,58,11_58,5,5,400,378.403141361257,119.588437288574,3,312.303664921466,308.863636363636,3.44002855782946
11,21,M,danish,right,0.0,58,11_58,5,5,400,378.403141361257,119.588437288574,4,534.816753926701,666.818181818182,132.00142789148
11,21,M,danish,right,0.0,58,11_58,5,5,400,378.403141361257,119.588437288574,1,403.926701570681,630.0,226.073298429319
11,21,M,danish,right,0.0,58,11_58,5,5,400,378.403141361257,119.588437288574,2,262.565445026178,288.409090909091,25.8436458829129
11,21,M,danish,right,0.0,58,11_58,5,5,400,378.403141361257,119.588437288574,3,312.303664921466,308.863636363636,3.44002855782946
11,21,M,danish,right,0.0,58,11_58,5,5,400,378.403141361257,119.588437288574,4,534.816753926701,666.818181818182,132.00142789148
11,21,M,danish,right,0.0,59,11_59,4,4,600,728.787878787879,55.5419699647732,1,664.685314685315,789.545454545455,124.86013986014
11,21,M,danish,right,0.0,59,11_59,4,4,600,728.787878787879,55.5419699647732,2,759.090909090909,783.409090909091,24.3181818181818
11,21,M,danish,right,0.0,59,11_59,4,4,600,728.787878787879,55.5419699647732,3,762.587412587412,810.0,47.4125874125875
11,21,M,danish,right,0.0,59,11_59,4,4,600,728.787878787879,55.5419699647732,1,664.685314685315,789.545454545455,124.86013986014
11,21,M,danish,right,0.0,59,11_59,4,4,600,728.787878787879,55.5419699647732,2,759.090909090909,783.409090909091,24.3181818181818
11,21,M,danish,right,0.0,59,11_59,4,4,600,728.787878787879,55.5419699647732,3,762.587412587412,810.0,47.4125874125875
11,21,M,danish,right,0.0,60,11_60,4,4,400,306.177156177156,176.645534446836,1,510.13986013986,691.363636363636,181.223776223776
11,21,M,danish,right,0.0,60,11_60,4,4,400,306.177156177156,176.645534446836,2,202.447552447552,233.181818181818,30.7342657342658
11,21,M,danish,right,0.0,60,11_60,4,4,400,306.177156177156,176.645534446836,3,205.944055944056,225.0,19.055944055944
11,21,M,danish,right,0.0,60,11_60,4,4,400,306.177156177156,176.645534446836,1,510.13986013986,691.363636363636,181.223776223776
11,21,M,danish,right,0.0,60,11_60,4,4,400,306.177156177156,176.645534446836,2,202.447552447552,233.181818181818,30.7342657342658
11,21,M,danish,right,0.0,60,11_60,4,4,400,306.177156177156,176.645534446836,3,205.944055944056,225.0,19.055944055944
11,21,M,danish,right,0.0,61,11_61,5,5,600,556.806282722513,137.577836057287,1,671.989528795812,701.590909090909,29.6013802950977
11,21,M,danish,right,0.0,61,11_61,5,5,600,556.806282722513,137.577836057287,2,404.973821989529,499.090909090909,94.1170871013801
